parkCode,fullName,states,latitude,longitude,directionsInfo,operatingHours,title,category,description,url,addresses,name,lat_camp,lon_camp
zion,Zion National Park,UT,37.29839254,-113.0265138,"Zion National Park's main, south entrance and administrative offices are located near Springdale, Utah You may drive yourself on all open park roads except the Zion Canyon Scenic Drive. During most of the year, the Scenic Drive is accessed by shuttle bus only. Shuttles are free to ride. Board one in Springdale or at the Zion Canyon Visitor Center.","[{'exceptions': [], 'description': 'Zion National Park is open every day of the year.', 'standardHours': {'wednesday': 'All Day', 'monday': 'All Day', 'thursday': 'All Day', 'sunday': 'All Day', 'tuesday': 'All Day', 'friday': 'All Day', 'saturday': 'All Day'}, 'name': 'Zion National Park'}]",Kolob Canyons Road partially closed,Park Closure,"The road is open as far as Taylor Creek Trailhead. No one (including drivers, hikers, and bikers) can go past this trailhead due to road damage. We will remove this alert when the road is opened. This does not affect Zion Canyon Shuttle System service",,"[{'postalCode': '84767', 'city': 'Springdale', 'stateCode': 'UT', 'line1': 'Zion National Park', 'type': 'Physical', 'line3': '', 'line2': '1 Zion Park Blvd.'}, {'postalCode': '84767', 'city': 'Springdale', 'stateCode': 'UT', 'line1': 'Zion National Park', 'type': 'Mailing', 'line3': '', 'line2': '1 Zion Park Blvd.'}]",Lava Point Campground,37.3838790934259,-113.032845693121
zion,Zion National Park,UT,37.29839254,-113.0265138,"Zion National Park's main, south entrance and administrative offices are located near Springdale, Utah You may drive yourself on all open park roads except the Zion Canyon Scenic Drive. During most of the year, the Scenic Drive is accessed by shuttle bus only. Shuttles are free to ride. Board one in Springdale or at the Zion Canyon Visitor Center.","[{'exceptions': [], 'description': 'Zion National Park is open every day of the year.', 'standardHours': {'wednesday': 'All Day', 'monday': 'All Day', 'thursday': 'All Day', 'sunday': 'All Day', 'tuesday': 'All Day', 'friday': 'All Day', 'saturday': 'All Day'}, 'name': 'Zion National Park'}]",Kolob Canyons Road partially closed,Park Closure,"The road is open as far as Taylor Creek Trailhead. No one (including drivers, hikers, and bikers) can go past this trailhead due to road damage. We will remove this alert when the road is opened. This does not affect Zion Canyon Shuttle System service",,"[{'postalCode': '84767', 'city': 'Springdale', 'stateCode': 'UT', 'line1': 'Zion National Park', 'type': 'Physical', 'line3': '', 'line2': '1 Zion Park Blvd.'}, {'postalCode': '84767', 'city': 'Springdale', 'stateCode': 'UT', 'line1': 'Zion National Park', 'type': 'Mailing', 'line3': '', 'line2': '1 Zion Park Blvd.'}]",South Campground,37.203742599284524,-112.98419155753885
zion,Zion National Park,UT,37.29839254,-113.0265138,"Zion National Park's main, south entrance and administrative offices are located near Springdale, Utah You may drive yourself on all open park roads except the Zion Canyon Scenic Drive. During most of the year, the Scenic Drive is accessed by shuttle bus only. Shuttles are free to ride. Board one in Springdale or at the Zion Canyon Visitor Center.","[{'exceptions': [], 'description': 'Zion National Park is open every day of the year.', 'standardHours': {'wednesday': 'All Day', 'monday': 'All Day', 'thursday': 'All Day', 'sunday': 'All Day', 'tuesday': 'All Day', 'friday': 'All Day', 'saturday': 'All Day'}, 'name': 'Zion National Park'}]",Kolob Canyons Road partially closed,Park Closure,"The road is open as far as Taylor Creek Trailhead. No one (including drivers, hikers, and bikers) can go past this trailhead due to road damage. We will remove this alert when the road is opened. This does not affect Zion Canyon Shuttle System service",,"[{'postalCode': '84767', 'city': 'Springdale', 'stateCode': 'UT', 'line1': 'Zion National Park', 'type': 'Physical', 'line3': '', 'line2': '1 Zion Park Blvd.'}, {'postalCode': '84767', 'city': 'Springdale', 'stateCode': 'UT', 'line1': 'Zion National Park', 'type': 'Mailing', 'line3': '', 'line2': '1 Zion Park Blvd.'}]",Watchman Campground,37.1975852245451,-112.987306895859
zion,Zion National Park,UT,37.29839254,-113.0265138,"Zion National Park's main, south entrance and administrative offices are located near Springdale, Utah You may drive yourself on all open park roads except the Zion Canyon Scenic Drive. During most of the year, the Scenic Drive is accessed by shuttle bus only. Shuttles are free to ride. Board one in Springdale or at the Zion Canyon Visitor Center.","[{'exceptions': [], 'description': 'Zion National Park is open every day of the year.', 'standardHours': {'wednesday': 'All Day', 'monday': 'All Day', 'thursday': 'All Day', 'sunday': 'All Day', 'tuesday': 'All Day', 'friday': 'All Day', 'saturday': 'All Day'}, 'name': 'Zion National Park'}]",Avoid flash floods,Caution,"Flash floods are a sudden increase in the depth and speed of water in rivers, streams, or washes due to rain. Flood waters carry large debris like tree trunks and boulders and can happen at any time in Zion.",https://www.nps.gov/zion/planyourvisit/flash-flood.htm,"[{'postalCode': '84767', 'city': 'Springdale', 'stateCode': 'UT', 'line1': 'Zion National Park', 'type': 'Physical', 'line3': '', 'line2': '1 Zion Park Blvd.'}, {'postalCode': '84767', 'city': 'Springdale', 'stateCode': 'UT', 'line1': 'Zion National Park', 'type': 'Mailing', 'line3': '', 'line2': '1 Zion Park Blvd.'}]",Lava Point Campground,37.3838790934259,-113.032845693121
zion,Zion National Park,UT,37.29839254,-113.0265138,"Zion National Park's main, south entrance and administrative offices are located near Springdale, Utah You may drive yourself on all open park roads except the Zion Canyon Scenic Drive. During most of the year, the Scenic Drive is accessed by shuttle bus only. Shuttles are free to ride. Board one in Springdale or at the Zion Canyon Visitor Center.","[{'exceptions': [], 'description': 'Zion National Park is open every day of the year.', 'standardHours': {'wednesday': 'All Day', 'monday': 'All Day', 'thursday': 'All Day', 'sunday': 'All Day', 'tuesday': 'All Day', 'friday': 'All Day', 'saturday': 'All Day'}, 'name': 'Zion National Park'}]",Avoid flash floods,Caution,"Flash floods are a sudden increase in the depth and speed of water in rivers, streams, or washes due to rain. Flood waters carry large debris like tree trunks and boulders and can happen at any time in Zion.",https://www.nps.gov/zion/planyourvisit/flash-flood.htm,"[{'postalCode': '84767', 'city': 'Springdale', 'stateCode': 'UT', 'line1': 'Zion National Park', 'type': 'Physical', 'line3': '', 'line2': '1 Zion Park Blvd.'}, {'postalCode': '84767', 'city': 'Springdale', 'stateCode': 'UT', 'line1': 'Zion National Park', 'type': 'Mailing', 'line3': '', 'line2': '1 Zion Park Blvd.'}]",South Campground,37.203742599284524,-112.98419155753885
zion,Zion National Park,UT,37.29839254,-113.0265138,"Zion National Park's main, south entrance and administrative offices are located near Springdale, Utah You may drive yourself on all open park roads except the Zion Canyon Scenic Drive. During most of the year, the Scenic Drive is accessed by shuttle bus only. Shuttles are free to ride. Board one in Springdale or at the Zion Canyon Visitor Center.","[{'exceptions': [], 'description': 'Zion National Park is open every day of the year.', 'standardHours': {'wednesday': 'All Day', 'monday': 'All Day', 'thursday': 'All Day', 'sunday': 'All Day', 'tuesday': 'All Day', 'friday': 'All Day', 'saturday': 'All Day'}, 'name': 'Zion National Park'}]",Avoid flash floods,Caution,"Flash floods are a sudden increase in the depth and speed of water in rivers, streams, or washes due to rain. Flood waters carry large debris like tree trunks and boulders and can happen at any time in Zion.",https://www.nps.gov/zion/planyourvisit/flash-flood.htm,"[{'postalCode': '84767', 'city': 'Springdale', 'stateCode': 'UT', 'line1': 'Zion National Park', 'type': 'Physical', 'line3': '', 'line2': '1 Zion Park Blvd.'}, {'postalCode': '84767', 'city': 'Springdale', 'stateCode': 'UT', 'line1': 'Zion National Park', 'type': 'Mailing', 'line3': '', 'line2': '1 Zion Park Blvd.'}]",Watchman Campground,37.1975852245451,-112.987306895859
zion,Zion National Park,UT,37.29839254,-113.0265138,"Zion National Park's main, south entrance and administrative offices are located near Springdale, Utah You may drive yourself on all open park roads except the Zion Canyon Scenic Drive. During most of the year, the Scenic Drive is accessed by shuttle bus only. Shuttles are free to ride. Board one in Springdale or at the Zion Canyon Visitor Center.","[{'exceptions': [], 'description': 'Zion National Park is open every day of the year.', 'standardHours': {'wednesday': 'All Day', 'monday': 'All Day', 'thursday': 'All Day', 'sunday': 'All Day', 'tuesday': 'All Day', 'friday': 'All Day', 'saturday': 'All Day'}, 'name': 'Zion National Park'}]",Avalanche risk for oversnow visitors on Kolob Terrace Road at and near Black Canyon,Danger,"Oversnow visitors such as snowshoers or skiers, or drivers of snowcats or snowmobiles, should be aware of the possibility of avalanche at and near Black Canyon. Learn more about seasonal changes to visits at Zion.",https://www.nps.gov/zion/planyourvisit/weather-and-climate.htm,"[{'postalCode': '84767', 'city': 'Springdale', 'stateCode': 'UT', 'line1': 'Zion National Park', 'type': 'Physical', 'line3': '', 'line2': '1 Zion Park Blvd.'}, {'postalCode': '84767', 'city': 'Springdale', 'stateCode': 'UT', 'line1': 'Zion National Park', 'type': 'Mailing', 'line3': '', 'line2': '1 Zion Park Blvd.'}]",Lava Point Campground,37.3838790934259,-113.032845693121
zion,Zion National Park,UT,37.29839254,-113.0265138,"Zion National Park's main, south entrance and administrative offices are located near Springdale, Utah You may drive yourself on all open park roads except the Zion Canyon Scenic Drive. During most of the year, the Scenic Drive is accessed by shuttle bus only. Shuttles are free to ride. Board one in Springdale or at the Zion Canyon Visitor Center.","[{'exceptions': [], 'description': 'Zion National Park is open every day of the year.', 'standardHours': {'wednesday': 'All Day', 'monday': 'All Day', 'thursday': 'All Day', 'sunday': 'All Day', 'tuesday': 'All Day', 'friday': 'All Day', 'saturday': 'All Day'}, 'name': 'Zion National Park'}]",Avalanche risk for oversnow visitors on Kolob Terrace Road at and near Black Canyon,Danger,"Oversnow visitors such as snowshoers or skiers, or drivers of snowcats or snowmobiles, should be aware of the possibility of avalanche at and near Black Canyon. Learn more about seasonal changes to visits at Zion.",https://www.nps.gov/zion/planyourvisit/weather-and-climate.htm,"[{'postalCode': '84767', 'city': 'Springdale', 'stateCode': 'UT', 'line1': 'Zion National Park', 'type': 'Physical', 'line3': '', 'line2': '1 Zion Park Blvd.'}, {'postalCode': '84767', 'city': 'Springdale', 'stateCode': 'UT', 'line1': 'Zion National Park', 'type': 'Mailing', 'line3': '', 'line2': '1 Zion Park Blvd.'}]",South Campground,37.203742599284524,-112.98419155753885
zion,Zion National Park,UT,37.29839254,-113.0265138,"Zion National Park's main, south entrance and administrative offices are located near Springdale, Utah You may drive yourself on all open park roads except the Zion Canyon Scenic Drive. During most of the year, the Scenic Drive is accessed by shuttle bus only. Shuttles are free to ride. Board one in Springdale or at the Zion Canyon Visitor Center.","[{'exceptions': [], 'description': 'Zion National Park is open every day of the year.', 'standardHours': {'wednesday': 'All Day', 'monday': 'All Day', 'thursday': 'All Day', 'sunday': 'All Day', 'tuesday': 'All Day', 'friday': 'All Day', 'saturday': 'All Day'}, 'name': 'Zion National Park'}]",Avalanche risk for oversnow visitors on Kolob Terrace Road at and near Black Canyon,Danger,"Oversnow visitors such as snowshoers or skiers, or drivers of snowcats or snowmobiles, should be aware of the possibility of avalanche at and near Black Canyon. Learn more about seasonal changes to visits at Zion.",https://www.nps.gov/zion/planyourvisit/weather-and-climate.htm,"[{'postalCode': '84767', 'city': 'Springdale', 'stateCode': 'UT', 'line1': 'Zion National Park', 'type': 'Physical', 'line3': '', 'line2': '1 Zion Park Blvd.'}, {'postalCode': '84767', 'city': 'Springdale', 'stateCode': 'UT', 'line1': 'Zion National Park', 'type': 'Mailing', 'line3': '', 'line2': '1 Zion Park Blvd.'}]",Watchman Campground,37.1975852245451,-112.987306895859
zion,Zion National Park,UT,37.29839254,-113.0265138,"Zion National Park's main, south entrance and administrative offices are located near Springdale, Utah You may drive yourself on all open park roads except the Zion Canyon Scenic Drive. During most of the year, the Scenic Drive is accessed by shuttle bus only. Shuttles are free to ride. Board one in Springdale or at the Zion Canyon Visitor Center.","[{'exceptions': [], 'description': 'Zion National Park is open every day of the year.', 'standardHours': {'wednesday': 'All Day', 'monday': 'All Day', 'thursday': 'All Day', 'sunday': 'All Day', 'tuesday': 'All Day', 'friday': 'All Day', 'saturday': 'All Day'}, 'name': 'Zion National Park'}]",Toxic Cyanobacteria in the Virgin River and the streams of Zion National Park,Caution,Do not submerge your head in or filter drinking water from still or moving water.,https://www.nps.gov/zion/planyourvisit/toxic-cyanobacteria-bloom-in-the-virgin-river-and-the-streams-of-zion-national-park.htm,"[{'postalCode': '84767', 'city': 'Springdale', 'stateCode': 'UT', 'line1': 'Zion National Park', 'type': 'Physical', 'line3': '', 'line2': '1 Zion Park Blvd.'}, {'postalCode': '84767', 'city': 'Springdale', 'stateCode': 'UT', 'line1': 'Zion National Park', 'type': 'Mailing', 'line3': '', 'line2': '1 Zion Park Blvd.'}]",Lava Point Campground,37.3838790934259,-113.032845693121
